city,age,sex,family_size,work_hours,avg_sleep_hours,screen_time_hours,tea_cups,coffee_cups,late_snack,spice_intake,religious_freq,festival_freq,physical_activity_min,bedtime_variability,stress_level,city_noise_dB,light_pollution_index,temperature_night,humidity_night,air_quality_index,screen_brightness_behavior,sleep_quality_score
Aurangabad,16.0,Female,4,7.0,7.06,2.58,1,0,0,1,2,1,49.4,2.39,5.81,63.4,72.26,20.59,82.84,95.8,0.66,52.88
Jaipur,26.6,Male,4,10.0,7.77,3.62,2,0,0,3,2,1,11.8,1.76,6.69,64.02,57.53,27.02,33.25,169.4,0.55,40.15
Kochi,53.0,Female,3,6.1,5.87,2.92,7,1,0,3,2,2,63.1,0.36,4.74,52.1,68.34,31.18,50.98,157.0,0.62,52.76
Chennai,33.7,Male,3,8.2,8.09,2.92,1,2,0,4,3,1,13.3,0.5,4.96,79.22,69.85,11.43,55.37,147.3,0.81,41.42
Jaipur,33.7,Male,3,11.2,4.97,3.25,0,1,1,3,2,1,84.5,1.19,4.55,66.17,63.85,25.78,50.07,128.2,0.84,53.02
Surat,33.6,Female,3,9.1,6.54,1.26,2,0,1,1,2,1,4.1,2.31,7.43,71.12,82.15,27.11,56.43,95.2,0.71,49.1
Indore,34.2,Female,3,8.3,7.62,1.36,3,0,1,3,1,3,8.3,0.24,6.61,62.66,37.2,27.6,55.3,87.3,0.31,64.6
Mangalore,16.0,Female,3,8.8,7.52,1.12,2,1,1,3,0,3,65.1,2.05,8.92,53.94,79.09,25.92,81.55,57.8,0.23,59.73
Pimpri-Chinchwad,27.6,Female,4,11.3,5.53,0.0,4,0,0,4,3,1,45.0,2.33,6.59,53.37,63.32,25.05,78.74,124.3,0.09,52.44
Panaji,29.6,Female,4,4.0,8.84,1.15,1,0,1,2,1,2,44.0,0.0,1.33,49.16,74.08,27.95,62.15,21.5,0.45,67.62
Vasai-Virar,42.8,Male,2,7.6,4.92,1.07,3,0,0,3,5,0,60.3,2.33,8.45,54.95,64.41,27.47,62.13,50.3,0.72,52.23
Surat,30.5,Male,3,13.5,5.38,1.57,0,1,0,3,1,3,77.1,0.53,5.77,75.38,90.47,19.3,42.24,159.2,0.3,59.49
Port Blair,16.0,Female,5,10.7,7.23,2.6,3,0,1,3,6,3,41.2,1.61,7.68,53.17,47.66,23.7,60.23,51.8,0.25,58.59
Hyderabad,34.3,Female,2,10.7,6.63,2.23,0,1,0,4,2,2,45.4,1.26,4.46,70.99,61.48,22.31,70.03,102.3,0.52,48.61
Hyderabad,22.0,Female,3,10.4,6.25,3.84,1,0,1,5,6,4,14.4,2.25,4.34,70.99,73.77,23.26,64.35,101.8,0.62,44.93
Ghaziabad,17.8,Female,5,8.6,7.28,0.59,5,0,0,2,3,3,48.1,0.57,3.74,51.47,36.05,22.27,76.56,10.0,0.52,64.4
Pune,21.7,Male,2,7.9,7.01,2.35,2,0,0,3,1,1,0.0,1.5,7.24,71.06,77.48,18.11,65.02,91.1,0.94,57.53
Delhi,35.4,Male,3,9.3,5.77,2.11,2,2,0,3,0,1,45.7,0.67,7.98,69.24,69.61,26.34,68.77,185.3,0.18,50.48
Allahabad,42.6,Female,4,8.8,6.62,3.07,4,0,1,3,3,3,67.9,0.86,3.03,57.13,45.3,27.42,84.59,118.5,0.68,56.36
Ghaziabad,34.8,Male,4,10.7,5.77,2.06,0,1,0,3,2,2,38.4,0.54,7.86,47.4,29.64,18.87,72.06,76.6,0.85,48.52
Thane,36.3,Male,4,9.5,7.36,3.29,2,0,0,3,7,3,57.7,0.0,2.53,55.78,82.39,28.73,31.11,71.3,0.72,55.62
Kakinada,34.7,Female,3,9.1,5.5,1.01,1,2,0,3,2,1,51.7,1.66,1.69,48.51,43.54,23.92,82.65,82.0,0.8,59.28
Vasai-Virar,31.0,Male,4,8.0,8.1,2.77,3,0,0,3,4,2,39.1,0.3,1.74,53.49,54.63,27.59,70.73,37.6,0.59,61.83
Tirupati,37.0,Female,4,8.2,6.89,1.95,2,0,1,3,3,1,19.4,0.0,1.0,53.05,55.61,24.5,61.72,92.9,0.18,56.59
Kolkata,16.0,Male,4,7.3,6.37,0.75,2,1,0,4,0,0,61.1,0.49,6.28,66.79,63.36,22.97,49.46,152.9,0.5,55.85
Vasai-Virar,31.1,Other,5,9.3,8.3,2.63,3,0,0,4,2,1,36.5,1.1,1.16,53.14,70.15,23.77,68.75,49.8,0.75,65.84
Tiruchirappalli,19.6,Female,4,7.1,8.44,2.26,2,1,0,4,5,2,0.0,2.05,3.81,47.07,66.07,28.32,87.47,128.4,0.34,57.78
Vasai-Virar,41.6,Male,3,8.4,5.58,1.69,2,0,1,2,5,2,53.0,0.82,5.9,59.01,64.22,19.68,79.76,73.4,0.71,61.73
Raipur,28.5,Male,4,10.5,6.1,1.69,1,1,1,2,0,1,15.9,0.59,3.37,52.67,40.08,24.84,72.36,51.1,0.34,47.02
Jaipur,30.3,Male,3,10.4,6.19,1.43,3,1,0,4,3,1,61.4,1.86,4.1,62.39,50.18,22.39,57.45,215.7,0.35,60.41
Bengaluru,16.0,Female,2,10.5,5.69,4.16,2,1,0,3,3,0,2.1,0.85,7.74,62.51,56.48,19.71,50.7,143.7,0.08,49.65
Bhopal,40.2,Male,3,10.8,6.67,2.65,3,1,1,5,5,2,80.8,0.4,5.76,63.2,35.35,28.72,37.89,82.0,0.06,52.78
Jaipur,36.3,Male,2,11.0,5.8,1.44,0,1,0,3,7,2,45.3,2.72,6.62,66.69,68.4,20.31,42.93,169.3,0.57,43.52
Tiruchirappalli,35.6,Male,6,8.8,6.97,2.05,3,3,0,2,2,2,73.6,1.28,1.79,49.65,59.76,27.41,84.22,111.9,0.24,60.4
Pune,21.9,Female,3,7.0,7.34,2.29,1,0,1,2,1,1,42.7,1.11,6.85,75.15,91.29,19.92,71.89,99.1,0.89,47.36
Kakinada,22.3,Female,6,8.3,6.71,0.85,0,0,0,3,0,1,64.3,0.98,6.93,53.3,51.6,25.2,98.93,147.4,0.36,50.98
Moradabad,32.2,Female,6,8.8,7.92,3.4,5,1,1,1,0,2,10.6,0.0,3.26,43.77,44.91,25.57,39.01,67.8,0.67,63.25
Pune,23.1,Female,2,10.0,6.82,2.65,0,1,0,5,2,1,46.8,0.27,2.72,69.97,95.94,18.18,59.75,105.7,0.64,63.17
Surat,34.3,Male,4,7.5,6.41,1.66,4,2,0,4,3,1,36.9,1.81,2.56,72.43,75.91,24.92,37.52,170.5,0.92,65.49
Haridwar,16.0,Female,4,9.2,8.33,0.93,2,1,0,3,1,3,35.8,1.61,4.41,50.75,73.52,26.32,56.36,56.0,0.52,56.2
Kakinada,25.1,Male,6,10.1,6.84,1.78,4,0,1,3,2,1,27.8,1.75,5.69,46.86,56.44,29.2,73.07,87.8,0.55,52.15
Thane,48.0,Female,4,8.4,7.37,0.88,0,2,0,2,1,1,15.3,0.49,1.9,53.33,52.31,30.17,56.19,75.4,0.9,50.1
Surat,34.4,Female,4,10.6,4.99,2.35,1,1,0,4,1,3,55.3,0.36,4.58,73.15,73.3,18.67,49.35,119.4,0.31,51.94
Agra,31.7,Male,5,8.0,7.71,3.09,2,0,1,1,4,1,16.7,2.28,4.42,38.09,52.52,35.0,69.71,56.1,0.66,59.0
Jabalpur,49.9,Male,4,9.3,8.29,2.83,0,0,0,2,5,2,44.0,1.62,3.09,61.57,39.08,23.42,52.67,125.0,0.53,60.71
Pune,16.0,Female,3,12.8,5.83,3.48,0,1,0,2,2,1,77.5,1.27,2.99,72.47,93.49,19.54,70.51,88.5,0.53,56.69
Thiruvananthapuram,21.8,Male,3,8.3,7.72,4.16,4,1,0,3,0,3,28.6,2.03,2.39,48.84,51.92,18.53,81.23,50.3,0.45,59.57
Mumbai,26.0,Male,4,8.2,6.17,3.26,2,2,1,4,0,1,45.1,1.19,4.24,67.24,76.2,19.53,84.54,127.7,0.68,46.5
Mumbai,38.6,Female,2,11.1,4.95,2.09,3,1,0,5,2,2,39.6,1.54,4.71,75.46,73.69,20.16,70.95,161.5,0.85,51.26
Jaipur,38.8,Female,3,9.5,7.92,3.33,0,1,0,4,0,1,25.6,1.19,4.69,72.88,63.3,25.16,62.83,122.8,0.28,57.63
Surat,21.3,Female,4,8.8,5.66,2.63,1,0,0,3,1,1,61.9,0.33,9.61,71.92,66.14,23.04,64.29,84.3,0.34,37.35
Ahmedabad,40.0,Female,2,8.8,6.77,2.54,4,1,0,4,2,1,59.7,0.64,8.19,69.04,74.37,16.37,62.97,57.8,0.76,56.41
Patna,26.0,Male,3,9.3,5.92,2.27,3,0,1,3,3,1,33.1,0.88,3.59,57.88,53.49,28.85,68.27,57.6,0.7,58.85
Surat,42.1,Male,3,10.0,7.85,2.1,2,0,0,5,0,4,65.8,0.0,1.76,82.04,68.21,24.38,50.02,74.3,0.43,58.56
Chennai,19.7,Female,3,11.9,6.63,4.37,1,1,0,3,5,2,38.5,0.99,4.78,82.58,68.5,23.48,52.13,68.9,0.57,61.34
Ahmedabad,28.8,Female,3,10.6,5.49,0.87,1,3,0,3,0,0,38.9,2.62,3.75,70.76,86.05,19.35,71.66,99.7,0.24,50.83
Nanded,25.1,Male,2,10.4,6.94,2.73,4,0,0,4,5,0,37.6,0.34,3.99,40.67,55.51,31.27,53.89,101.8,0.74,58.75
Kanpur,40.6,Male,5,9.0,7.89,2.12,1,1,0,5,4,2,56.1,2.2,2.13,71.25,33.42,27.63,60.69,108.8,0.22,56.36
Thane,24.8,Male,6,9.7,6.58,3.46,1,0,1,3,2,0,49.2,1.67,5.84,65.77,56.54,34.6,20.25,74.1,0.25,50.31
Vasai-Virar,29.6,Female,4,8.9,6.86,1.66,2,0,0,5,6,2,25.9,1.8,6.91,53.73,68.32,23.38,78.27,23.1,0.63,60.85
Guntur,35.1,Male,4,11.7,5.35,3.36,3,0,0,3,2,2,44.4,1.35,6.54,55.12,20.81,21.02,48.68,10.0,0.71,55.03
Pune,35.5,Female,3,10.7,3.99,3.88,1,0,1,4,2,3,35.4,0.09,6.6,62.67,94.27,21.6,80.34,96.2,0.24,34.17
Jabalpur,38.9,Other,6,6.8,4.75,1.31,3,0,1,5,2,3,52.1,1.21,7.64,65.83,48.8,22.69,60.08,62.8,0.82,51.72
Raipur,32.1,Female,5,8.7,7.58,3.01,4,0,0,4,6,1,68.8,1.37,2.87,61.81,30.79,19.48,68.27,56.0,0.81,61.77
Aurangabad,25.8,Female,6,9.3,6.67,2.27,2,1,1,3,4,3,51.8,0.88,5.57,52.08,56.43,20.53,70.48,88.8,0.29,54.11
Bengaluru,26.5,Male,3,9.9,7.11,2.42,1,1,1,5,0,3,19.0,0.61,3.97,65.65,71.69,12.45,44.53,124.3,0.84,46.04
Coimbatore,30.3,Male,4,10.2,8.03,0.48,2,0,0,3,1,2,82.8,0.52,5.27,40.72,70.18,15.66,75.52,81.8,0.78,69.2
Mumbai,32.5,Female,4,9.2,7.44,3.77,5,1,0,3,0,1,46.7,1.33,6.12,71.8,96.39,20.28,86.51,138.1,0.67,45.11
Srinagar,28.5,Male,4,9.0,8.44,1.35,5,0,0,4,3,3,25.2,0.6,2.05,56.38,43.23,27.67,73.24,87.4,0.83,79.77
Thiruvananthapuram,30.2,Male,6,10.3,5.76,2.47,3,1,0,5,5,3,61.1,1.18,4.25,53.0,60.08,19.89,88.09,68.3,0.21,55.69
Hyderabad,16.0,Female,2,7.9,5.52,4.46,1,3,0,3,3,0,53.7,1.54,5.28,75.05,54.18,22.77,54.85,144.7,0.62,35.3
Kohima,36.7,Male,5,7.5,6.75,1.27,7,0,1,5,1,1,37.3,1.26,4.29,52.75,49.14,25.32,76.15,72.9,0.54,52.88
Delhi,31.8,Female,1,12.9,6.95,3.84,2,0,0,2,0,1,42.4,0.74,6.93,65.43,82.31,32.55,70.82,147.2,0.16,52.66
Kohima,40.0,Male,3,8.4,6.61,0.97,6,1,1,4,3,2,29.7,0.26,8.01,39.22,56.84,27.57,87.83,120.8,0.49,57.09
Visakhapatnam,30.0,Male,4,10.3,7.69,3.33,4,0,0,3,2,1,41.4,1.8,5.17,49.93,56.8,19.02,60.58,151.4,0.34,61.45
Hyderabad,16.0,Male,3,11.6,6.46,4.82,1,1,0,1,3,3,59.6,1.04,7.34,64.37,67.84,21.16,58.51,101.5,0.95,38.05
Kolkata,26.4,Female,3,8.1,6.7,3.4,1,0,1,3,4,1,62.3,0.47,2.91,59.94,49.2,18.53,55.16,107.1,0.63,56.3
Moradabad,28.0,Female,4,7.7,7.96,2.39,3,0,1,5,5,1,38.2,0.55,2.98,50.32,49.52,23.85,50.94,116.7,0.5,63.6
Mumbai,37.4,Male,2,10.0,6.39,3.89,1,0,0,3,1,1,38.4,3.5,4.74,69.53,86.31,19.3,73.86,168.7,0.41,43.94
Chennai,16.0,Male,4,9.0,6.53,2.16,2,0,1,3,0,1,21.5,1.42,5.23,82.67,47.66,23.0,62.34,117.3,0.62,47.58
Surat,30.4,Female,4,10.6,6.99,1.17,2,1,0,4,0,1,55.8,0.72,3.78,86.37,66.2,22.6,44.29,181.1,0.53,53.85
Amritsar,35.1,Male,6,9.8,6.63,1.33,1,1,0,4,4,1,30.1,1.53,7.61,57.86,60.54,27.05,64.29,84.0,0.29,43.26
Meerut,23.4,Male,4,9.3,6.44,4.06,2,3,1,4,6,2,17.4,1.11,6.27,75.96,17.3,19.76,46.58,75.8,0.35,44.68
Kolkata,30.7,Male,1,9.9,7.16,1.34,2,0,1,4,2,3,58.7,2.39,3.35,58.71,62.86,17.64,55.98,137.9,0.33,60.37
Ahmedabad,23.7,Female,2,10.9,6.24,3.46,0,2,0,5,1,0,30.9,2.73,6.17,58.74,70.71,22.0,67.33,34.5,0.77,35.94
Hyderabad,22.7,Male,4,11.8,7.6,2.89,5,1,0,5,3,3,45.0,1.51,1.0,67.23,65.11,21.83,58.17,153.6,0.49,67.35
Hyderabad,25.9,Male,3,12.0,5.6,2.64,1,2,1,3,1,3,62.8,1.2,5.19,74.42,55.41,23.78,56.18,126.8,0.08,49.79
Kanpur,22.9,Female,3,9.4,7.81,3.52,3,0,0,3,4,0,68.5,1.63,3.84,60.32,45.93,28.66,65.56,57.1,0.13,54.51
Jodhpur,36.8,Male,4,7.7,7.42,2.08,9,0,0,2,4,1,53.3,1.3,4.01,52.36,60.72,28.54,68.8,126.3,0.38,68.18
Hyderabad,22.7,Female,3,9.7,5.95,3.93,0,2,0,5,2,3,29.4,1.86,3.81,65.17,57.28,19.58,72.2,189.8,0.78,51.04
Jaipur,21.0,Female,4,11.0,5.93,4.9,1,2,1,3,2,2,61.1,1.09,5.58,78.39,62.55,25.17,62.41,158.2,0.15,43.37
Jaipur,47.7,Female,3,11.6,6.18,2.29,0,2,1,2,1,2,65.5,0.75,4.92,62.92,69.61,25.57,41.52,144.8,0.35,41.51
Guntur,39.6,Male,4,10.6,7.16,2.43,3,0,0,3,3,1,29.2,2.42,6.49,52.87,47.02,19.26,57.52,10.0,0.32,50.26
Moradabad,16.0,Female,5,8.7,6.54,2.63,0,1,0,3,3,0,60.3,2.69,5.14,43.31,48.57,26.07,80.57,83.0,0.7,51.01
Siliguri,22.4,Male,3,9.3,7.01,1.71,1,1,1,3,2,1,21.4,1.83,3.52,69.05,37.5,27.27,58.76,94.6,0.6,59.76
Pune,32.4,Male,2,10.8,6.57,3.49,4,2,1,4,0,0,44.7,0.59,7.89,67.59,84.79,17.01,79.31,118.5,0.54,32.53
Mumbai,33.2,Female,3,12.2,6.32,4.13,0,0,1,1,2,1,42.3,0.52,2.75,71.34,69.04,19.98,72.99,142.2,0.25,55.53
Ahmedabad,16.0,Female,2,8.9,5.94,3.28,4,0,0,3,0,3,22.3,0.95,3.78,70.15,79.48,22.64,65.34,48.2,0.52,60.1
Pune,41.6,Male,4,10.7,7.22,3.12,1,1,0,1,3,3,74.7,0.04,2.17,69.95,100.0,24.44,77.97,127.0,0.37,61.06
Ghaziabad,38.3,Male,4,8.2,7.61,0.0,1,0,1,4,5,1,41.1,1.04,6.4,39.86,43.11,16.26,79.98,71.4,0.79,43.38
Mangalore,34.8,Male,3,10.8,7.17,0.7,1,0,0,3,2,1,31.6,2.0,4.69,63.72,68.2,28.72,69.61,65.4,0.61,62.32
Tirupati,43.6,Female,6,9.0,6.38,3.65,1,0,1,1,3,3,47.9,0.94,6.75,47.01,62.05,23.95,68.6,39.0,0.82,45.98
Kohima,34.5,Female,5,9.4,7.94,1.14,1,0,1,2,3,4,35.3,0.89,5.67,58.88,58.89,26.56,78.09,113.9,0.43,60.36
Surat,34.5,Female,1,8.7,8.62,3.67,1,1,1,4,2,2,48.2,1.37,4.97,72.71,70.36,22.12,50.24,103.8,0.86,44.09
Jabalpur,45.6,Female,4,8.4,5.79,0.9,0,0,0,5,6,1,27.4,0.86,4.94,64.58,40.25,24.67,45.52,126.8,0.35,52.73
Ahmedabad,41.0,Female,3,13.0,6.43,1.54,0,1,1,1,0,2,20.5,1.95,4.0,62.28,71.63,21.1,65.21,64.2,0.7,62.06
Mumbai,21.6,Male,3,10.9,7.89,3.68,3,1,0,2,1,4,33.8,2.22,4.57,71.89,82.07,18.76,63.45,183.6,0.47,37.11
Madurai,36.3,Male,4,9.3,4.42,3.4,1,0,0,3,2,2,9.9,1.94,3.88,60.62,51.39,28.73,96.86,124.4,0.84,46.33
Delhi,23.4,Female,3,12.1,6.14,3.15,1,1,0,5,2,0,20.1,2.39,2.72,62.7,76.57,26.51,59.06,161.9,0.05,65.39
Kanpur,35.0,Male,4,11.3,5.34,2.32,0,0,0,3,5,2,45.5,0.66,7.89,51.4,40.44,25.4,74.79,46.7,0.44,51.83
Surat,34.8,Male,1,9.9,5.57,1.14,0,1,0,5,1,2,29.3,0.42,7.57,69.46,73.34,24.28,54.03,66.2,0.32,56.89
Guwahati,16.2,Male,3,7.9,7.4,0.08,1,0,0,4,4,3,14.0,0.57,1.2,59.34,47.97,26.76,57.94,86.9,0.65,61.06
Shimla,28.8,Female,4,8.8,8.12,1.61,1,0,0,3,2,2,17.7,1.46,8.78,50.79,35.64,29.08,81.09,91.5,0.61,59.97
Ahmedabad,32.7,Male,3,9.5,4.79,2.65,0,2,1,5,2,1,25.4,0.03,7.71,63.86,70.38,21.2,57.24,46.7,0.21,46.4
Port Blair,25.6,Male,5,9.2,6.86,1.95,1,0,1,3,3,4,30.7,2.26,5.06,55.56,48.15,28.97,61.32,61.1,0.36,57.04
Ahmedabad,33.1,Female,2,10.4,4.28,4.71,0,1,0,3,1,2,17.1,0.8,5.23,57.51,63.48,16.53,72.3,10.0,0.63,37.16
Thane,38.1,Male,6,12.8,5.41,1.46,5,0,1,1,1,3,55.4,0.67,7.33,62.06,61.96,26.23,44.5,60.2,0.38,45.7
Kota,29.7,Female,4,7.4,7.19,1.73,4,0,0,3,2,0,66.8,2.34,7.82,77.06,10.63,20.99,60.87,130.5,0.67,56.69
Guwahati,32.2,Male,4,7.0,7.66,3.5,3,0,0,4,4,1,57.0,1.62,5.17,51.0,43.75,30.72,50.38,75.4,0.65,67.99
Thrissur,43.8,Female,5,8.1,6.62,2.59,3,0,1,2,6,3,18.0,0.0,5.44,53.15,70.46,28.03,58.39,135.4,0.56,51.63
Hyderabad,34.7,Male,2,5.4,7.87,1.91,3,1,1,5,1,0,46.7,0.0,5.6,71.29,65.42,27.61,63.97,132.2,0.62,55.93
Ranchi,32.0,Female,4,6.2,6.77,0.01,3,0,1,4,3,1,50.0,1.87,6.87,54.9,36.97,20.37,71.4,26.4,0.61,49.8
Aurangabad,20.4,Female,5,7.0,8.21,1.65,2,0,1,3,3,0,50.7,0.31,4.97,60.29,74.11,19.07,67.95,100.4,0.63,54.24
Gorakhpur,36.7,Female,3,10.7,5.93,1.09,5,1,1,5,4,1,72.2,1.76,4.23,40.25,51.57,21.58,64.36,93.9,0.81,56.16
Kolkata,33.3,Female,2,8.0,5.57,2.06,0,0,0,3,1,2,3.8,1.91,5.76,55.51,57.16,18.62,55.9,102.8,0.68,37.73
Agartala,42.8,Male,6,6.5,7.5,4.06,2,1,0,2,3,1,37.4,1.66,2.14,51.63,16.19,24.96,72.32,48.2,0.9,50.26
Vasai-Virar,30.5,Female,5,7.7,4.7,1.09,4,0,1,2,3,3,59.7,0.02,6.78,48.52,68.74,22.28,84.24,10.0,0.3,52.15
Pune,16.0,Female,1,10.6,7.96,2.35,2,1,0,2,3,1,47.3,1.85,2.72,68.8,73.22,22.04,75.02,115.3,0.67,65.14
Pimpri-Chinchwad,16.0,Female,4,8.2,6.07,2.82,5,0,0,2,1,2,0.0,0.0,1.99,45.97,52.07,22.58,72.33,78.4,0.38,45.78
Surat,37.4,Female,2,9.5,5.28,2.79,2,0,0,2,3,1,18.6,1.29,5.34,75.25,60.45,20.81,43.71,140.2,0.71,41.93
Vasai-Virar,24.3,Male,4,8.1,6.67,3.35,4,0,0,5,3,0,55.6,0.0,4.16,51.43,66.0,27.91,60.35,36.1,0.54,67.01
Haridwar,34.4,Female,4,7.0,6.28,2.74,2,0,1,5,7,1,28.3,1.94,4.17,50.75,48.91,32.3,77.2,119.5,0.69,62.96
Vasai-Virar,31.1,Male,6,7.6,7.08,1.38,0,1,0,3,1,2,27.8,1.33,6.96,52.67,55.21,25.74,64.25,31.4,0.13,52.88
Navi Mumbai,28.3,Female,6,7.8,6.4,3.51,2,1,0,5,1,3,44.2,0.55,9.61,56.18,35.83,20.26,59.12,67.2,0.27,44.26
Ludhiana,29.0,Male,3,10.0,7.02,2.1,2,0,0,3,6,0,69.9,2.86,3.12,62.52,60.29,23.6,53.52,65.2,0.84,58.36
Mumbai,21.3,Male,2,8.3,8.28,1.24,3,1,0,4,1,2,20.3,0.94,3.23,58.65,85.87,24.13,73.85,180.7,0.28,50.15
Hyderabad,29.8,Female,3,11.5,5.82,5.16,2,2,1,2,1,1,56.0,1.73,7.24,70.83,60.02,20.45,66.09,145.2,0.27,44.56
Patna,24.2,Female,5,10.0,6.94,1.05,2,0,0,2,4,2,24.3,1.27,6.08,61.63,57.29,20.42,84.69,110.7,0.99,71.17
Ahmedabad,26.3,Female,2,7.7,6.29,2.39,2,2,1,4,1,3,51.1,1.83,5.8,62.51,71.91,22.06,67.19,43.5,0.86,55.66
Chennai,26.8,Female,1,10.6,7.01,2.03,2,1,0,3,1,0,59.6,1.12,4.95,75.54,58.95,17.66,61.9,108.6,0.81,46.5
Ghaziabad,27.7,Female,3,9.1,5.38,2.11,4,0,1,2,4,2,42.4,0.55,8.68,43.93,36.58,18.4,49.52,73.9,0.49,54.1
Surat,39.2,Female,3,12.0,7.77,2.69,2,1,0,5,0,1,22.4,2.81,4.58,80.11,69.99,16.28,53.86,138.0,0.74,46.8
Pune,28.7,Male,4,8.8,6.42,3.58,1,2,1,2,4,0,65.2,0.89,6.13,77.52,94.25,18.56,60.89,134.0,0.02,50.56
Visakhapatnam,40.2,Female,4,10.0,6.74,1.57,2,0,1,2,3,3,28.4,1.4,4.99,57.08,63.42,18.84,64.81,119.0,0.75,52.56
Kolkata,45.4,Female,2,11.2,5.15,3.58,2,0,0,3,1,4,56.1,1.43,5.56,58.34,68.62,25.07,63.23,60.0,0.63,45.08
Jamshedpur,38.5,Female,4,6.4,5.02,1.39,4,2,1,3,2,3,43.4,1.0,6.38,59.07,26.54,19.33,67.38,39.2,0.43,38.75
Tiruchirappalli,35.3,Female,5,11.0,6.11,1.52,1,0,0,3,3,1,18.1,1.95,3.79,57.16,47.8,26.73,75.28,175.5,0.87,58.24
Jodhpur,33.3,Female,4,7.9,7.26,0.45,2,1,1,5,3,1,5.0,0.87,6.54,48.51,48.99,26.66,63.21,137.8,0.27,53.55
Bengaluru,38.7,Male,3,10.7,6.82,3.23,0,0,0,3,3,2,27.7,0.5,4.21,64.94,72.91,14.92,59.48,97.5,0.37,48.85
Kochi,30.9,Female,4,8.7,7.34,3.37,0,1,1,4,3,2,48.5,1.01,5.08,57.55,55.98,23.23,49.21,168.8,0.37,41.35
Siliguri,39.8,Male,4,8.7,6.09,1.78,0,0,0,3,5,1,26.2,2.14,7.01,64.62,25.03,21.53,67.74,102.1,0.87,49.37
Shimla,36.1,Female,3,7.8,7.3,3.59,2,2,0,4,4,1,83.8,2.2,4.09,59.69,30.25,32.24,70.47,67.4,0.31,51.38
Bengaluru,26.4,Male,4,9.1,8.69,1.91,2,1,0,2,6,1,44.5,0.88,6.66,71.21,64.59,16.34,44.56,82.4,0.87,47.98
Navi Mumbai,39.0,Female,3,9.7,4.53,1.64,4,2,1,5,9,3,68.5,1.59,7.25,43.48,34.04,28.32,80.33,59.8,0.8,42.3
Aizawl,30.9,Female,4,11.1,6.83,3.25,1,2,0,2,0,3,61.9,0.0,4.95,57.29,49.79,33.58,76.77,48.5,0.54,54.74
Vasai-Virar,28.9,Female,3,7.2,7.45,1.85,1,0,1,3,4,1,47.2,2.12,5.15,52.9,68.05,23.62,69.0,10.0,0.26,55.63
Navi Mumbai,25.2,Female,3,8.2,8.01,2.03,1,0,0,5,3,2,39.6,0.0,4.21,45.67,29.92,28.91,67.35,68.4,0.43,60.04
Bhopal,31.7,Male,4,9.4,7.54,2.24,3,1,1,3,5,0,45.2,0.47,2.11,76.51,47.27,27.27,47.03,63.0,0.18,65.11
Nashik,40.0,Female,3,9.3,6.02,2.3,1,0,1,3,3,1,56.3,1.35,6.21,65.67,42.3,30.54,74.88,45.0,0.78,46.13
Delhi,38.9,Female,2,10.8,5.56,3.45,2,1,1,4,5,2,47.3,0.97,4.48,72.11,59.13,25.25,65.92,160.0,0.24,45.41
Navi Mumbai,33.5,Male,5,10.7,7.61,2.67,1,1,0,5,4,3,65.6,1.55,2.98,41.49,28.2,22.08,69.79,66.5,0.65,61.05
Bengaluru,36.0,Male,3,7.4,7.39,1.64,2,2,0,5,2,0,48.6,0.82,3.53,71.92,62.1,20.08,54.89,129.1,0.42,66.46
Thane,42.7,Male,4,8.1,6.57,2.73,5,0,0,5,0,3,24.5,0.0,3.65,53.77,66.05,31.34,35.09,88.7,0.84,50.26
Ahmedabad,28.5,Female,2,11.6,6.11,2.48,4,1,1,3,0,2,55.5,0.0,3.16,61.47,65.14,16.59,55.36,10.0,0.63,44.1
Meerut,18.8,Female,5,8.7,6.3,3.01,2,0,1,4,3,1,26.7,2.13,6.43,68.01,21.35,20.63,58.63,87.8,0.57,33.13
Kolkata,43.0,Female,4,8.3,7.15,0.99,1,1,1,3,1,2,68.1,2.33,5.42,69.28,55.52,18.98,37.11,107.0,0.36,53.3
Guwahati,24.7,Female,3,7.1,7.5,1.66,2,1,0,5,2,1,35.2,2.22,3.33,56.46,55.08,24.04,53.27,150.4,0.51,53.5
Panaji,23.1,Male,6,9.0,7.09,2.26,2,1,0,2,6,2,48.1,0.72,2.59,48.97,62.92,22.74,69.77,10.0,0.56,60.73
Chennai,16.0,Female,2,9.4,6.25,4.05,2,1,1,3,2,0,32.8,1.67,4.02,76.5,85.31,16.79,66.57,162.0,0.07,48.11
Bengaluru,35.7,Male,2,13.2,6.85,2.33,1,3,1,4,4,1,75.7,1.53,2.38,64.99,51.16,14.51,45.91,80.0,0.88,46.28
Kolkata,16.0,Male,3,9.8,5.0,1.69,3,1,0,2,5,1,70.8,0.82,6.7,67.89,43.91,20.52,48.49,104.5,0.52,49.77
Pondicherry,22.5,Male,5,7.9,5.23,2.6,4,0,0,1,4,0,7.8,1.52,1.94,45.59,45.68,24.98,67.77,68.4,0.24,61.62
Nashik,35.9,Male,3,10.9,8.98,0.0,1,0,1,3,4,1,47.7,1.71,7.25,51.99,45.52,33.02,67.0,62.2,0.28,56.86
Visakhapatnam,37.2,Male,4,8.9,6.27,1.49,0,0,1,2,5,3,32.3,1.23,5.65,61.36,55.38,28.01,54.94,119.5,0.62,52.53
